	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9																										110	0.11233155634477272	0.029418364443467925	376.0	11.06130503074394						241	-0.09596184060699922	0.047250387246494954	428.0	20.22316574149984	1	-0.16207724491338674	0.032120795340349825	175.0	5.621139184561219	113	0.14993392905581282	0.033188860848850414	202	6.704149891467783																125	-0.2269068454146308	0.0187573663326586	107.0	2.00703819759447																56	-0.22164735108397496	0.011265096137846852	131.0	1.4757275940579377	164	-0.23383506089716757	0.01983392571649922	99.0	1.9635586459334227
10																										227	0.11099497923819622	0.031416326431914526	376.0	11.812538738399862						127	-0.0956539814180108	0.04796770691732071	428.0	20.530178560613265	37	-0.16123156482443904	0.033041885740980256	175.0	5.782330004671545	177	0.14797049870357698	0.03558941625096869	202	7.189062082695675																282	-0.22520732022569914	0.01968775400377856	107.0	2.1065896784043057																201	-0.22050346595557097	0.011703711459484572	131.0	1.533186201192479	185	-0.23045692060590398	0.021740099862864005	99.0	2.1522698864235363
11																										184	0.10931886850304498	0.03408469887905273	376.0	12.815846778523827						245	-0.09506337034968453	0.04936938286990559	428.0	21.130095868319593	52	-0.15866101252190867	0.03598038769689754	175.0	6.29656784695707	282	0.1462674019333149	0.03778920994664662	202	7.633420409222617																148	-0.21845968853371472	0.023783980315797305	107.0	2.5448858937903114																211	-0.21776136558733444	0.012816611153749831	131.0	1.6789760611412279	119	0.23018398133984366	0.021900743030973013	99.0	2.1681735600663283
12																										25	-0.10867293123087687	0.03516334580449473	376.0	13.22141802249002											59	0.1556055162181118	0.03975767854297068	175.0	6.957593745019869	87	-0.1457473580906825	0.03848338189432934	202	7.773643142654526																214	-0.21800955274210046	0.024081438181724552	107.0	2.5767138854445273																12	0.21422150360395079	0.014389392576701377	131.0	1.8850104275478803	117	0.22977193778043004	0.022145184065762658	99.0	2.1923732225105033
13																										28	-0.10823535079255367	0.03591043339476264	376.0	13.502322956430751											5	0.15495649240994003	0.04060157905170397	175.0	7.105276334048195	122	-0.14453301354391782	0.040146310736996614	202	8.109554768873316																96	0.21489138594773372	0.026230559772946443	107.0	2.8066698957052694																146	0.2137210876293468	0.014624778701622135	131.0	1.9158460099124996	67	-0.2295441587452312	0.022281311707344195	99.0	2.2058498590270754
14																										203	0.10799190168492089	0.036331883729342235	376.0	13.66078828223268											263	-0.1532894760817974	0.04283836371166021	175.0	7.496713649540537	93	-0.14440583644855687	0.04032391546912558	202	8.145430924763367																94	-0.2140988970202684	0.026802102232132797	107.0	2.867824938838209																273	-0.2103319543952393	0.016309052393585	131.0	2.136485863559635	290	-0.22728285681971624	0.02367203381348495	99.0	2.34353134753501
15																										277	-0.1059627733921824	0.040010734728812225	376.0	15.044036258033398											235	-0.15223777460260077	0.04430196896213024	175.0	7.752844568372792	263	0.14430690738607435	0.04046252824404769	202	8.173430705297633																113	-0.21376413045188403	0.027046700876814548	107.0	2.8939969938191568																208	0.21021956702552377	0.016367677291097137	131.0	2.1441657251337247	94	0.2244358575210979	0.025527816762858365	99.0	2.527253859522978
16																										52	0.10497059727438476	0.04192120691124769	376.0	15.762373798629131																14	0.14416357600339327	0.04066406567929673	202	8.21414126721794																275	0.21317396233686375	0.027482535661103192	107.0	2.9406313157380417																67	-0.2083101302191544	0.017392027975203964	131.0	2.2783556647517194	220	0.22078952312071334	0.028084383410623866	99.0	2.7803539576517626
17																										55	0.10491216904590306	0.042036070340621214	376.0	15.805562448073577																226	0.1437762200288394	0.04121295388310323	202	8.325016684386853																90	0.21306283687663463	0.02756526551064916	107.0	2.94948340963946																149	0.20792399011450716	0.017605801352022974	131.0	2.3063599771150094	44	-0.21953765056238092	0.029010790609473022	99.0	2.872068270337829
18																										54	-0.10117774916010122	0.04994784428005627	376.0	18.780389449301158																75	-0.14308533204555654	0.04220741383959445	202	8.525897595598078																154	0.2089209246762113	0.03080339948157779	107.0	3.2959637445288235																141	-0.2066501476369629	0.01832723962844238	131.0	2.4008683913259516	263	-0.21893084255507647	0.029469076040733753	99.0	2.917438528032642
19																																														278	-0.14295274700669067	0.04240054220571865	202	8.564909525555167																292	-0.20763790584681469	0.03186955325519175	107.0	3.4100421983055176																13	0.2059719949055988	0.01872163912356723	131.0	2.452534725187307	63	-0.2188123363582295	0.02955928843782387	99.0	2.926369555344563
20																																														276	-0.1424936518860805	0.043075018488377796	202	8.701153734652316																171	-0.20651176616460612	0.0328308801689823	107.0	3.512904178081106																284	-0.2046895532160395	0.019487567609361486	131.0	2.552871356826355	182	-0.21758487133814283	0.030507524108077774	99.0	3.0202448866996994
21																																														159	-0.14249293468516744	0.04307607915845737	202	8.701367990008388																47	0.20376461509269211	0.035279100159184854	107.0	3.7748637170327792																293	-0.2038778359150837	0.01998621498851174	131.0	2.618194163495038	247	0.21751638496083342	0.030561179878491582	99.0	3.0255568079706667
22																																														212	0.14249238904055042	0.04307688612821045	202	8.70153099789851																261	0.20206425804805175	0.03687003764137726	107.0	3.9450940276273667																162	0.2019930699714981	0.021186673798822935	131.0	2.7754542676458045	36	-0.21576305127524356	0.03196224759902632	99.0	3.1642625123036057
23																																														18	0.14245171542031276	0.043137075245399344	202	8.713689199570668																25	-0.20186969240076308	0.037055863934416004	107.0	3.9649774409825125																57	0.20118672858713296	0.021718912819474946	131.0	2.8451775793512177	48	0.21414448848927545	0.03330335802264955	99.0	3.2970324442423053
24																																														154	-0.14207798004499525	0.04369344053804116	202	8.826074988684315																19	0.20112159237997423	0.03777769851263018	107.0	4.042213740851429																295	0.19946500543972345	0.022893970124997394	131.0	2.9991100863746585	248	-0.21399630763256033	0.033428472026000786	99.0	3.3094187305740776
25																																														151	-0.14161590988045175	0.04438960933447035	202	8.966701085563011																7	-0.20026252879235382	0.03862110624685409	107.0	4.1324583684133875																83	0.19917253776703828	0.02309890461201967	131.0	3.025956504174577	6	0.2135053621251433	0.03384582548939725	99.0	3.3507367234503276
26																																														141	0.14142555844168328	0.044679088033859525	202	9.025175782839623																236	-0.19802186223399088	0.04089543288455072	107.0	4.375811318646927																177	0.19853015619616868	0.023554559244272594	131.0	3.0856472609997097	148	0.21227965443076746	0.034906983029746576	99.0	3.455791319944911
27																																														156	0.1413436104061396	0.04480419703282385	202	9.050447800630417																117	-0.19632351836572337	0.04269289157442171	107.0	4.5681393984631224																257	-0.1973902168279847	0.0243821292658987	131.0	3.19405893383273	257	0.21220870423457783	0.03496925496456519	99.0	3.461956241491954
28																																														10	-0.1413029296012257	0.04486641272824325	202	9.063015371105136																66	-0.1943727094984552	0.04483831466943615	107.0	4.797699669629668																143	0.19706873810909112	0.024619969642698553	131.0	3.2252160231935103	103	0.21181259892522464	0.035318628874157224	99.0	3.496544258541565
29																																														170	-0.14128118159039377	0.04489970297138808	202	9.069740000220392																147	0.1937804771252296	0.04550709193463532	107.0	4.8692588370059795																175	0.19536533716334062	0.02591361171996534	131.0	3.3946831353154594	79	-0.21105525153571403	0.03599479235411783	99.0	3.563484443057665
30																																														78	0.14119500985137315	0.045031811598850266	202	9.096425942967754																269	-0.19332958759875227	0.04602179527935564	107.0	4.924332094891054																152	-0.19433928697912142	0.026720533025255934	131.0	3.500389826308527	43	0.20934181937013663	0.037564730205715754	99.0	3.7189082903658597
31																																														91	-0.14107009552586022	0.04522389333519277	202	9.13522645370894																22	-0.19188637340134754	0.04770185439961192	107.0	5.104098420758476																44	0.19368851877937038	0.027243355034184936	131.0	3.5688795094782266	110	-0.20841674431934973	0.038435912403002814	99.0	3.8051553278972787
32																																														262	0.1410405284820538	0.045269459003418576	202	9.144430718690552																																				255	-0.19196897018116596	0.028666981927571403	131.0	3.7553746325118538	230	-0.20830242903746213	0.03854473223968145	99.0	3.8159284917284637
33																																														256	0.14090792385096818	0.045474288218023934	202	9.185806220040835																																				214	0.19189869684968416	0.028726483559660926	131.0	3.763169346315581	187	-0.20814948039749676	0.03869073125921888	99.0	3.8303823946626694
34																																														21	-0.14087280668552607	0.04552866197890382	202	9.196789719738572																																				118	0.19172255936532667	0.028876084178311737	131.0	3.7827670273588376	140	-0.20652713859562621	0.04026803164185758	99.0	3.9865351325439002
35																																														264	0.14085406067534847	0.04555770966981719	202	9.202657353303072																																				128	-0.19082205966968488	0.029651311758659746	131.0	3.884321840384427	272	0.2061501406162389	0.040642150030749585	99.0	4.023572853044209
36																																														260	-0.1407370406481711	0.04573938744406863	202	9.239356263701863																																				252	0.19061420740464022	0.02983274000552061	131.0	3.9080889407232	39	-0.206094065362988	0.04069804397650489	99.0	4.029106353673984
37																																														174	-0.14055766482957185	0.04601905058199073	202	9.295848217562128																																				59	0.19018344144244181	0.03021174753279388	131.0	3.957738926795998	260	-0.20600389690333343	0.04078805537559713	99.0	4.038017482184117
38																																														31	-0.14049984927603262	0.046109494286811714	202	9.314117845935966																																				229	0.18910115248091527	0.03118207713071514	131.0	4.084852104123684	52	-0.2059768948184926	0.04081504272069276	99.0	4.040689229348583
39																																														149	0.14047965909830026	0.046141113751054286	202	9.320504977712966																																				33	0.18803863798950085	0.03216025827789762	131.0	4.212993834404588	152	-0.2053090044024129	0.041487324645554984	99.0	4.107245139909943
40																																														247	0.14047915020896812	0.04614191094730974	202	9.320666011356566																																				125	-0.1869782143731875	0.03316230090945635	131.0	4.344261419138782	156	0.2049104681401166	0.0418928607825491	99.0	4.147393217472361
41																																														60	0.1404252662155551	0.04622638762363581	202	9.337730299974433																																				184	0.18625990749936205	0.033855959354805884	131.0	4.435130675479571	25	0.20437546922262645	0.04244244425686247	99.0	4.2018019814293845
42																																														90	-0.14037431186382804	0.046306390210559954	202	9.35389082253311																																				212	-0.1856562091351061	0.03444838634177872	131.0	4.512738610773012	24	0.20413761365668376	0.042688704664456394	99.0	4.2261817617811825
43																																														81	-0.14035084050561547	0.04634328110558039	202	9.361342783327238																																				29	0.18392761596146937	0.03619331952087749	131.0	4.741324857234951	122	-0.20253823455385975	0.04437566501374227	99.0	4.393190836360485
44																																														143	0.14034656296462497	0.04635000693678053	202	9.362701401229666																																				24	0.182882443701033	0.03728405706514876	131.0	4.884211475534487	68	-0.20167859353249223	0.04530502719076683	99.0	4.485197691885916
45																																														295	-0.14033572828729793	0.04636704659141778	202	9.36614341146639																																				64	0.1826579091669477	0.03752195376803317	131.0	4.915375943612345	158	0.20062490562808855	0.046466147847868976	99.0	4.6001486369390285
46																																														100	0.14027643292513764	0.046460392906477806	202	9.384999367108517																																				139	0.18139675034535396	0.03888200859391597	131.0	5.0935431258029915	85	0.19945297976409104	0.047786417534647435	99.0	4.730855335930096
47																																														152	0.14026779823268026	0.04647399924439276	202	9.387747847367336																																				236	0.1807829632913721	0.0395587556524581	131.0	5.182196990472011	89	0.19920430886690496	0.04807052036973393	99.0	4.758981516603659
48																																														198	-0.1402384930189823	0.04652020251001144	202	9.39708090702231																																				151	-0.1804757574383017	0.03990116654856433	131.0	5.227052817861927	259	-0.19759954909299812	0.04993771612009616	99.0	4.9438338958895205
49																																														279	0.14022089234961824	0.04654797056502076	202	9.402690054134194																																				276	0.1802871450907609	0.04011262203184717	131.0	5.254753486171979					
50																																														6	0.14017272154232094	0.046624039034261655	202	9.418055884920854																																				35	-0.18015654004151502	0.04025959461279359	131.0	5.27400689427596					
51																																														34	0.14011799674956998	0.046710583127426764	202	9.435537791740206																																				267	-0.17996408994703736	0.040476984979224646	131.0	5.302485032278429					
52																																														92	0.14006768617204765	0.046790264729189734	202	9.451633475296326																																				91	-0.17855316470205249	0.042100980838102556	131.0	5.5152284897914345					
53																																														183	-0.13998997288081225	0.04691356966762101	202	9.476541072859444																																				58	0.17842571516175848	0.0422503230211857	131.0	5.534792315775326					
54																																														82	0.1399481697720244	0.04698000934076483	202	9.489961886834495																																				133	-0.1763677112398072	0.044723803991419966	131.0	5.858818322876016					
55																																														255	-0.13991965085465347	0.04702538088172356	202	9.499126938108159																																				250	0.17635635146611603	0.04473778504896986	131.0	5.860649841415052					
56																																														284	-0.13991943264214987	0.047025728183063116	202	9.499197092978749																																				299	0.17443558589532127	0.04715471824141904	131.0	6.177268089625895					
57																																														84	0.1398366365384	0.04715765895255724	202	9.525847108416562																																				289	-0.17404847485063446	0.04765473930289064	131.0	6.242770848678673					
58																																														225	-0.13983562923776843	0.04715926592787775	202	9.526171717431305																																				246	0.17307129719762449	0.048936554446861444	131.0	6.410688632538849					
59																																														290	0.13979219603451656	0.04722859964365822	202	9.54017712801896																																				277	-0.1728184602077112	0.049272831747115574	131.0	6.45474095887214					
60																																														218	0.13978864704651103	0.04723426875723567	202	9.541322288961606																																				207	0.17274983561229976	0.049364433457739804	131.0	6.466740782963914					
61																																														142	-0.139513768157053	0.04767508614985496	202	9.630367402270702																																				283	-0.17240733862668942	0.04982371965333533	131.0	6.526907274586929					
62																																														191	0.13946318478413308	0.047756578377326546	202	9.646828832219962																																													
63																																														187	0.13936842138506542	0.04790955950229193	202	9.67773101946297																																													
64																																														199	-0.13920208427409314	0.04817907386035633	202	9.732172919791978																																													
65																																														35	0.13913231650759295	0.04829249358968391	202	9.75508370511615																																													
66																																														205	-0.13901433003450747	0.04848480777383544	202	9.793931170314758																																													
67																																														7	0.1389999908347464	0.048508223655444486	202	9.798661178399787																																													
68																																														181	0.13898238771872637	0.04853698239240768	202	9.804470443266352																																													
69																																														188	-0.13897144226448951	0.048554871472193034	202	9.808084037382994																																													
70																																														132	0.1388788662941643	0.04870639609384521	202	9.838692010956732																																													
71																																														287	0.13885745489034898	0.04874149746676385	202	9.845782488286298																																													
72																																														298	-0.13875095963713097	0.04891639667452864	202	9.881112128254786																																													
73																																														224	0.1387427154130719	0.04892995809924857	202	9.883851536048212																																													
74																																														227	0.13871361428858278	0.0489778533496904	202	9.893526376637462																																													
75																																														292	0.13869318719461918	0.049011496019015915	202	9.900322195841214																																													
76																																														69	0.13857682946181787	0.04920350023354627	202	9.939107047176346																																													
77																																														51	0.13855966076467383	0.049231883606851615	202	9.944840488584026																																													
78																																														73	0.1385517426375919	0.04924497848660913	202	9.947485654295043																																													
79																																														107	-0.13854646043245666	0.049253715731019165	202	9.949250577665872																																													
80																																														5	-0.13852958336703747	0.04928164057383486	202	9.954891395914643																																													
81																																														40	-0.1385203337230646	0.04929695065448002	202	9.957984032204964																																													
82																																														266	-0.13850272399781582	0.04932610935311765	202	9.963874089329765																																													
83																																														222	-0.138418428352486	0.04946588753899635	202	9.992109282877262																																													
84																																														117	-0.13838788657812034	0.04951661291971099	202	10.00235580978162																																													
85																																														252	-0.13835265594240426	0.04957517958787691	202	10.014186276751136																																													
86																																														147	-0.13831153239336708	0.049643615440364	202	10.028010318953527																																													
87																																														54	0.1383004404862105	0.049662087524068595	202	10.031741679861856																																													
88																																														65	0.13826645244549193	0.04971872567605545	202	10.043182586563201																																													
89																																														120	0.13824850090330607	0.049748662070835344	202	10.049229738308739																																													
90																																														285	-0.13823434001866322	0.04977228766363952	202	10.054002108055183																																													
91																																														45	0.13812084110797435	0.04996198337998297	202	10.09232064275656																																													
92																																														16	-0.13810011775667005	0.04999668409454534	202	10.09933018709816																																													
93																																														211	-0.13809878273658246	0.04999892023846001	202	10.099781888168922																																													
