	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9																					60	0.18365089040153837	0.03647945974172453	130.0	4.742329766424189											68	-0.26569528950024934	0.03687127268494435	62.0	2.2860189064665497						189	0.40868701695782045	0.0003650761353822111	72	0.026285481747519202						204	-0.4307311855805092	0.010990215777713417	34.0	0.3736673364422562	299	-0.24624029508784526	0.025745683761265615	82.0	2.1111460684237806						209	0.25469279444310294	0.04396405241217833	63.0	2.7697353019672346						100	-0.3590114970512811	0.029097847638929808	37.0	1.076620362640403
10																					149	-0.18298839208577472	0.03717224498455819	130.0	4.832391847992565											185	0.26513590525014147	0.03728516683115267	62.0	2.3116803435314655						54	-0.40232099780785247	0.0004594552227614827	72	0.033080776038826754						260	0.428665831934023	0.011423095099923572	34.0	0.38838523339740144	276	0.24614314523357841	0.025806016766513135	82.0	2.116093374854077						32	-0.2504496333843905	0.047731568933750704	63.0	3.0070888428262945						256	-0.3460503951741829	0.03590469865171923	37.0	1.3284738501136115
11																					42	-0.18152105829449958	0.03874613981745271	130.0	5.0369981762688525											166	-0.26486795966395105	0.03748478371828361	62.0	2.3240565905335835						254	-0.4004590617162649	0.0004909953312551832	72	0.03535166385037319						188	-0.4196311104130878	0.013489912407977502	34.0	0.4586570218712351	236	-0.24293887442579196	0.027864277301198	82.0	2.284870738698236						143	0.2495688444351809	0.048545877527937126	63.0	3.058390284260039						210	-0.34416660717785	0.03699413576110729	37.0	1.36878302316097
12																					132	-0.1809996490447389	0.039318723420669784	130.0	5.111434044687072											120	-0.2603072379205191	0.04102068642394678	62.0	2.5432825582847003						185	0.39926369169250037	0.0005122722796407999	72	0.03688360413413759						274	0.4189627718413687	0.013654550897499678	34.0	0.46425473051498906	109	0.23918252604331786	0.030452337260427106	82.0	2.497091655355023																169	0.3348760988685212	0.042767485338621535	37.0	1.5823969575289967
13																					92	-0.1805794248654976	0.03978534234872346	130.0	5.17209450533405											133	0.2594465575018168	0.04171792401707208	62.0	2.5865112890584694						57	-0.3991877702654354	0.0005136516223041266	72	0.03698291680589712						285	-0.41243074488927417	0.015354494094477401	34.0	0.5220527992122317	77	-0.2365257146025371	0.032402727676483015	82.0	2.657023669471607																206	0.3310284723781018	0.04536240316870992	37.0	1.678408917242267
14																					156	-0.18003114596520803	0.04040112756639801	130.0	5.252146583631741											99	-0.2582322196446593	0.04271826423599703	62.0	2.648532382631816						110	0.39245512696096924	0.0006503312858760017	72	0.04682385258307212						142	-0.4069437009915439	0.016916298294130553	34.0	0.5751541420004388	91	0.23247304345307493	0.035579409606530076	82.0	2.9175115877354663																227	0.3276360155847915	0.047754253661135906	37.0	1.7669073854620285
15																					113	-0.17950969610597714	0.04099417029761911	130.0	5.329242138690485											289	-0.25508038342180955	0.0454072092001658	62.0	2.8152469704102794						180	-0.3918177069265627	0.0006648510502290471	72	0.04786927561649139						110	0.3999561662254499	0.019095235209186264	34.0	0.649237997112333	232	0.23077669141736093	0.036984409716632013	82.0	3.032721596763825																				
16																					150	-0.1787816341441435	0.04183437092153419	130.0	5.438468219799445											145	0.2509310068518792	0.04915765957412923	62.0	3.0477748935960123						300	-0.39114410678939165	0.0006805148505689293	72	0.048997069240962914						243	-0.3956984643129718	0.020533922483947194	34.0	0.6981533644542046	60	0.22143405667794527	0.045577993149613805	82.0	3.737395438268332																				
17																					68	0.17863548936484375	0.04200474969947565	130.0	5.460617460931835																					188	-0.3871223119004356	0.0007812276473788507	72	0.05624839061127725						197	0.39392927490022883	0.021157633991441827	34.0	0.7193595557090221	264	-0.21746154014630917	0.04970183229451987	82.0	4.07555024815063																				
18																					283	0.17858931916427462	0.042058696400843816	130.0	5.4676305321096965																					259	-0.37669308360454157	0.0011084914985297204	72	0.07981138789413987						20	-0.3898938227600009	0.022639242301430034	34.0	0.7697342382486212																									
19																					9	0.17855095615243413	0.042103564998088636	130.0	5.473463449751523																					120	0.37618001490758834	0.0011274049227653889	72	0.081173154439108						136	-0.38423976472029153	0.02485856838330584	34.0	0.8451913250323986																									
20																					59	0.17832512846205337	0.04236850047318968	130.0	5.507905061514658																					276	-0.3711156531918693	0.0013303668068079938	72	0.09578641009017555						168	-0.3795896413238504	0.026815537061936817	34.0	0.9117282601058518																									
21																					168	-0.1779760201374831	0.04278080717256129	130.0	5.5615049324329675																					231	0.3665516220256513	0.0015409282042673125	72	0.1109468307072465						109	-0.36806625888334416	0.032215493728543175	34.0	1.095326786770468																									
22																					54	0.17702830579021164	0.043917017714173216	130.0	5.709212302842518																					125	-0.3599717899352515	0.0018974400755824893	72	0.13661568544193922						8	0.3625193115670377	0.03511436545206659	34.0	1.193888425370264																									
23																					11	0.17657230972515792	0.04447261698432059	130.0	5.781440207961676																					201	-0.35331787423196337	0.002331679920535639	72	0.16788095427856603						144	-0.3530329312194524	0.04056085467127218	34.0	1.379069058823254																									
24																					108	-0.1753501516692265	0.045990699886257015	130.0	5.978790985213412																					60	0.34890330973657663	0.0026669125180136845	72	0.19201770129698528						75	0.3452794280348577	0.045501835061293794	34.0	1.547062392083989																									
25																					162	0.17462704407019508	0.04690903317214472	130.0	6.098174312378814																					49	-0.34687502108116075	0.0028349030336060673	72	0.20411301841963686						207	-0.3450087997096906	0.04568264167738576	34.0	1.553209817031116																									
26																					297	-0.1745752644231735	0.0469753731922156	130.0	6.106798514988028																					1	-0.3458441954210999	0.002923850519298092	72	0.21051723738946262						138	0.34356559785429036	0.04665659732870132	34.0	1.5863243091758448																									
27																					219	-0.1738096738981051	0.04796538303789697	130.0	6.235499794926606																					249	-0.34113855558824435	0.0033623402133979357	72	0.24208849536465138						126	0.33880018309549603	0.04999127606631672	34.0	1.6997033862547684																									
28																					188	0.17355506005739332	0.04829844733973608	130.0	6.27879815416569																					173	0.34108275424901996	0.003367873766149283	72	0.24248691116274837																																			
29																					8	0.17355002028391242	0.04830505927236971	130.0	6.279657705408062																					129	0.3409500248385923	0.003381068517385138	72	0.24343693325172994																																			
30																					89	-0.1733676018585126	0.04854488946334772	130.0	6.3108356302352036																					263	0.33692265528775006	0.003803970158841567	72	0.27388585143659283																																			
31																					96	0.17300988736237766	0.04901805498262762	130.0	6.37234714774159																					115	0.334968786313717	0.004025592755990649	72	0.2898426784313267																																			
32																					62	-0.1729713650880139	0.049069237553079105	130.0	6.379000881900284																					38	0.3335038242139992	0.00419920625860689	72	0.30234285061969607																																			
33																					65	-0.1729503974555387	0.04909711479436553	130.0	6.382624923267519																					268	0.33182396488683913	0.004406438727202714	72	0.3172635883585954																																			
34																					47	0.1724187672677966	0.049808337013118396	130.0	6.4750838117053915																					101	0.3305335597614309	0.0045717335977911834	72	0.32916481904096523																																			
35																					64	-0.1723568458898804	0.04989172862963978	130.0	6.485924721853172																					157	0.32306118617249685	0.0056413800478195015	72	0.4061793634430041																																			
36																																														72	-0.32032956611956315	0.006084310148352446	72	0.4380703306813761																																			
37																																														83	-0.31985864826555344	0.006163690121182293	72	0.4437856887251251																																			
38																																														236	-0.3121076310315506	0.007607792890512735	72	0.5477610881169169																																			
39																																														66	-0.3101817652850747	0.008009646759190922	72	0.5766945666617465																																			
40																																														77	0.3097580377664771	0.008100517524759276	72	0.5832372617826679																																			
41																																														282	-0.3068548129798958	0.008747773496373908	72	0.6298396917389213																																			
42																																														187	0.30318603108630415	0.009630047071556975	72	0.6933633891521022																																			
43																																														146	-0.3031319448930614	0.009643614019004853	72	0.6943402093683494																																			
44																																														102	0.3002204809186275	0.010398962210244092	72	0.7487252791375747																																			
45																																														197	-0.29631446803701444	0.011492920047198325	72	0.8274902433982794																																			
46																																														245	-0.295025778143998	0.011875125881440763	72	0.855009063463735																																			
47																																														239	-0.2948732507363202	0.01192108481517363	72	0.8583181066925014																																			
48																																														172	-0.2934013954903076	0.012372564558792556	72	0.8908246482330641																																			
49																																														56	-0.29326014397805766	0.012416661477895646	72	0.8939996264084865																																			
50																																														10	0.2926286347956585	0.0126154799712404	72	0.9083145579293088																																			
51																																														105	0.2910834143544866	0.013113627704304283	72	0.9441811947099084																																			
52																																														48	-0.2874826775946737	0.014340912037651773	72	1.0325456667109276																																			
53																																														8	0.28700888283116044	0.01450955690999422	72	1.0446880975195838																																			
54																																														209	-0.28696830110122395	0.014524080989822103	72	1.0457338312671913																																			
55																																														109	-0.28670748771168786	0.01461772495875629	72	1.0524761970304528																																			
56																																														241	0.28647518011277884	0.014701572037265636	72	1.0585131866831259																																			
57																																														228	0.28617035663169876	0.014812221233314073	72	1.0664799287986133																																			
58																																														11	0.2843776914647787	0.015477583571726267	72	1.1143860171642912																																			
59																																														84	-0.28357806182396456	0.015782574169445323	72	1.1363453402000632																																			
60																																														63	0.2802036843751885	0.017127239772430306	72	1.233161263614982																																			
61																																														230	0.2784866385954108	0.01784842909459625	72	1.28508689481093																																			
62																																														227	-0.2759755909797607	0.0189499042384547	72	1.3643931051687384																																			
63																																														179	-0.2716793549252591	0.020969421079766057	72	1.5097983177431562																																			
64																																														18	0.2706987268656161	0.021455267479345536	72	1.5447792585128786																																			
65																																														214	-0.26936967187916155	0.022129020083075362	72	1.593289445981426																																			
66																																														144	-0.26555141315738295	0.02416563236781421	72	1.739925530482623																																			
67																																														192	-0.2648974515046042	0.024529924706294177	72	1.7661545788531807																																			
68																																														171	-0.26477695557561104	0.02459755288868195	72	1.7710238079851004																																			
69																																														205	0.2641704743767074	0.024940343934443183	72	1.7957047632799092																																			
70																																														250	-0.2622595681197836	0.02604699285779081	72	1.8753834857609382																																			
71																																														30	-0.2621483399912515	0.026112666636715003	72	1.8801119978434802																																			
72																																														24	-0.26165386531194673	0.02640632284283907	72	1.9012552446844129																																			
73																																														272	-0.26010241625785213	0.027345871455022493	72	1.9689027447616194																																			
74																																														200	-0.2572766706383299	0.02912967889759884	72	2.0973368806271164																																			
75																																														2	-0.2543471403888041	0.031081435518177263	72	2.237863357308763																																			
76																																														163	0.2542717895387513	0.031133050941014793	72	2.241579667753065																																			
77																																														256	-0.2538724013909338	0.03140783541379166	72	2.2613641497929997																																			
78																																														181	-0.2506269621430747	0.033717112476186764	72	2.427632098285447																																			
79																																														74	0.2504655339655577	0.03383558940744302	72	2.4361624373358977																																			
80																																														260	0.24941257712169934	0.03461695967208405	72	2.4924210963900517																																			
81																																														206	0.2484671417884632	0.035331334303570286	72	2.5438560698570605																																			
82																																														139	-0.24761346847011512	0.03598690704024936	72	2.591057306897954																																			
83																																														147	0.2475945850872105	0.0360015223396593	72	2.59210960845547																																			
84																																														123	-0.24619739782999797	0.037096732569242695	72	2.670964744985474																																			
85																																														134	-0.2460321933098527	0.03722804667904329	72	2.6804193608911167																																			
86																																														294	0.24035607404194573	0.041980515498754825	72	3.0225971159103473																																			
87																																														130	0.23994670331946846	0.042341855448303434	72	3.0486135922778472																																			
88																																														280	0.23918283937402032	0.04302297885154305	72	3.0976544773110994																																			
89																																														90	0.23653853921280857	0.0454511783854381	72	3.2724848437515432																																			
90																																														290	0.23545004318730448	0.04648302163442857	72	3.346777557678857																																			
91																																														269	-0.23317233907572718	0.04870464984625976	72	3.506734788930703																																			
92																																														97	-0.23311754758867845	0.04875914817581489	72	3.5106586686586723																																			
93																																														223	-0.2328861711691327	0.04898983926669841	72	3.5272684272022854																																			
