	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	3	0.20538200331963144	0.017713032645877515	133.0	2.3558333419017097	99	-0.1850086067427567	0.03967683867643066	124.0	4.919927995877402	257	-0.23625775947575783	0.016278567029578462	103.0	1.6766924040465816	15	-0.22435712823684745	0.01375975449176241	120.0	1.651170539011489	14	-0.42634936116812544	0.0005497762952774869	62	0.034086130307204185	196	-0.1717452649736291	0.018757050331825075	187.0	3.507568412051289	162	-0.39442340676248533	0.008064617220920419	44.0	0.3548431577204984	26	0.4699238704549391	0.004394697199799973	35.0	0.15381440199299906	43	-0.3409301375294125	0.03620272847599276	38.0	1.375703682087725	167	-0.47841727654989047	0.008659251742722581	29.0	0.25111830053895484	216	0.4743266199008308	0.003470579044966092	36.0	0.12494084561877931	256	0.47344913996688087	0.010934960227414428	28.0	0.306178886367604	214	-0.2612179914590803	0.04200964635868787	61.0	2.5625884278799598
1	101	0.18216797812969038	0.035849862128761026	133.0	4.768031663125217						4	-0.21675512458190027	0.027864223165459747	103.0	2.870014986042354	61	0.21766150378494806	0.016935195628490964	120.0	2.032223475418916	82	0.4098459391239351	0.0009394158180790114	62	0.05824378072089871	252	0.16782651879533728	0.021680824174099625	187.0	4.05431412055663	283	-0.389292197238994	0.00900506013806317	44.0	0.3962226460747795	122	0.3957451781885967	0.018611937526764034	35.0	0.6514178134367412						133	0.44390191262885464	0.01585605452546986	29.0	0.45982558123862594	48	-0.4528021124600585	0.005553865966620243	36.0	0.19993917479832873	139	0.464838040700607	0.012692969604345057	28.0	0.3554031489216616					
2	217	-0.18183985835215286	0.0361903911997233	133.0	4.813322029563199						226	-0.21228963695057962	0.03133342540142222	103.0	3.227342816346489	223	0.20421673539439616	0.025266738484181855	120.0	3.0320086181018224	52	0.40409742146232686	0.0011250446048122898	62	0.06975276549836197	98	0.16567415467640267	0.023448194946850843	187.0	4.384812455061107	39	0.36392408138955207	0.015164684595821463	44.0	0.6672461222161443	272	0.3909585489770753	0.020220606224005958	35.0	0.7077212178402086						152	0.4116863263672467	0.026491849604968122	29.0	0.7682636385440755	106	0.4201153102194409	0.010741501712243697	36.0	0.3866940616407731	249	0.44478663184778977	0.01771262985410305	28.0	0.4959536359148854					
3	12	-0.1747415401631923	0.04425149036591953	133.0	5.885448218667297						211	0.21140822203223686	0.03205966520880297	103.0	3.3021455165067057	289	-0.20221661760159773	0.026765482056815212	120.0	3.2118578468178254	125	-0.3852099471344128	0.001990295302404908	62	0.12339830874910429	152	-0.16508815887738515	0.023950339253047674	187.0	4.478713440319915	114	0.363845429422279	0.015188287152809034	44.0	0.6682846347235976	212	-0.38792522695010256	0.021298673836826296	35.0	0.7454535842889204						113	-0.404022493420477	0.029731439903399697	29.0	0.8622117571985912	199	0.41037211384286	0.012921393154701321	36.0	0.46517015356924757	208	0.4405166226807182	0.01896918657711109	28.0	0.5311372241591106					
4	26	0.1741612433381282	0.044972035100517734	133.0	5.981280668368859						210	-0.20474842345384278	0.03801965844593496	103.0	3.916024819931301	67	-0.20212918708263775	0.026832689238156744	120.0	3.2199227085788094	267	0.38243458526655033	0.002158334733500319	62	0.1338167534770198	61	0.1602626178163697	0.028448491832249893	187.0	5.31986797263073	280	0.3305440999188237	0.028417809047910334	44.0	1.2503835981080547	258	0.38736055179624196	0.021504540207929714	35.0	0.75265890727754						182	0.3828380105212197	0.04038426716889938	29.0	1.1711437478980822	206	0.4021173711970213	0.015050106328673476	36.0	0.5418038278322451	201	0.4267528166221283	0.023527736106495535	28.0	0.658776610981875					
5	142	0.17364864524473356	0.0456166292295458	133.0	6.067011687529591						214	-0.19926983950715238	0.04359409429741126	103.0	4.49019171263336	127	-0.20047400548843353	0.028132415718547483	120.0	3.375889886225698	143	-0.3784604441793806	0.002421032176580256	62	0.15010399494797588	124	0.1598736477775962	0.028840620386809054	187.0	5.393196012333293	285	0.3277015061616605	0.02989311186711247	44.0	1.3152969221529487	129	-0.3520016492772603	0.03810414386058727	35.0	1.3336450351205544						87	0.3708282132643185	0.04766075061748699	29.0	1.3821617679071225	146	-0.39981795555708805	0.015693053790738105	36.0	0.5649499364665718	83	-0.42163930099329	0.025433887505623327	28.0	0.7121488501574531					
6											244	0.19669080586087287	0.04644470244987256	103.0	4.783804352336873	14	0.1965587293937323	0.031421589943882514	120.0	3.7705907932659017	27	0.37600560550532897	0.002597208431375345	62	0.1610269227452714	212	-0.15645806175777363	0.03248648908713738	187.0	6.07497345929469	23	0.32261048682246385	0.03269380714743297	44.0	1.4385275144870506	90	-0.3516690359106019	0.03829925814198346	35.0	1.340474034969421						229	-0.37064544745599526	0.0477790075360813	29.0	1.3855912185463577	25	-0.39552644177741025	0.01695478730769139	36.0	0.61037234307689	59	-0.4097282122061561	0.030363826308899708	28.0	0.8501871366491918					
7											294	0.19633476068958997	0.04685011681467904	103.0	4.825562031911941	221	0.18797928734193448	0.0397803013719942	120.0	4.773636164639305	133	0.3717931991261353	0.0029262754625726667	62	0.18142907867950533	219	0.15631532876798074	0.0326470053412221	187.0	6.1049899988085325	96	-0.3224798323240247	0.03276843853036134	44.0	1.441811295335899	36	-0.34376758881523317	0.04317751871285614	35.0	1.511213154949965						273	0.3673563916647523	0.04994717866442805	29.0	1.4484681812684135	198	-0.394969412549187	0.017124621690547674	36.0	0.6164863808597163	126	-0.40477610506329476	0.032628407115610686	28.0	0.9135953992370992					
8											153	-0.19464363735111292	0.04881598452769391	103.0	5.028046406352472	203	-0.18351327633071962	0.044822294841543694	120.0	5.378675380985244	103	-0.3656798484621877	0.003469807446495303	62	0.2151280616827088	67	-0.15556565558671268	0.033501185432119655	187.0	6.264721675806376	59	0.3159808854627462	0.03666204374363348	44.0	1.6131299247198732	299	-0.3412672714304648	0.04482143102438124	35.0	1.5687500858533434											241	0.3921007063311663	0.018022000181884937	36.0	0.6487920065478577	171	0.40046549084052785	0.034708615508102884	28.0	0.9718412342268807					
