Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
ты_PRON,-0.18,0.0087,11,6.19,big5_lex_повествование.tsv
у_ADP,-0.16,0.02562,17,18.24,big5_lex_повествование.tsv
