	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni
0	глядеть_VERB	-0.14412267092007697	0.009058203719560972	8.0	45.21855296804837	она_PRON	-0.1695286409750724	0.0020968027596909456	74.0	4.134895042110545	друга_PRON	-0.129367786937919	0.01927031691155048	7.0	28.38517681071386	вдаль_ADV	-0.12438763267930017	0.024483974487775013	7.0	55.87242978110258	как_ADV	0.1475204336968391	0.00753889439250372	5.0	10.667535565392763	у_ADP	0.14451959357453523	0.008867682618378697	6.0	11.723076421496637	жизнь_NOUN	0.1539681815918382	0.005267174617846065	22.0	7.637403195876794	её_DET	0.12427460384916317	0.02461521019951702	8.0	50.43656569881037	хороший_ADJ	-0.1521569130227889	0.005833271922153541	15	13.486524684018987	то_PRON	-0.19898572614559532	0.00029371442540335516	17.0	0.32191101024207724	по_ADP	-0.15660650759469574	0.004530787384884871	8.0	5.985170135432915	о_ADP	0.13908363549663402	0.01181285293064911	10.0	27.441257357897882	какой_DET	-0.17265125455084993	0.0017262523492854993	10.0	2.1250166419704497	на_ADP	-0.11133310721598892	0.04424089621270322	20.0	49.372840173376794	она_PRON	-0.18352284399126623	0.0008550674642453837	15.0	1.0688343303067296	с_ADP	0.11840048437091653	0.032323424337679894	6.0	24.9213601643512	дальше_ADV	-0.12967650767749356	0.018981587505088243	5.0	14.312116978836535
1	сын_NOUN	-0.12948031874020882	0.019164632662935943	9.0	95.66984625337622	всегда_ADV	-0.14342494699697025	0.009401940477828944	5.0	18.540626622278676	сын_NOUN	-0.12426668254440212	0.024624430185094113	9.0	36.27178566264363	нужный_ADJ	-0.12247344067099632	0.02678980903398185	8.0	61.134344215546584						уже_ADV	0.12787134651891374	0.020724634835641145	7.0	27.397967252717596	помочь_VERB	-0.11838171856641173	0.032351021615769	5.0	46.90898134286505						свой_DET	-0.12902493046146918	0.019595442056911102	74	45.30466203557847	которая_PRON	0.14670522733342217	0.007881047893529305	5.0	8.637628491308117	то_DET	-0.14241101019909327	0.009922106034354934	6.0	13.107102071382867	пожилой_ADJ	-0.13430628735264838	0.015082154632984436	7.0	35.03584521242284	смотреть_VERB	-0.14950980170828473	0.006758945570003374	6.0	8.320261996674153						плохой_ADJ	-0.14175313092006753	0.010273110145528563	6.0	12.841387681910705										
2	это_PRON	-0.12746614960063624	0.021134450635762532	35.0	105.50317757372656	_SPACE	-0.12231431123704366	0.026989636664964366	5.0	53.22356350330973	все_PRON	0.11065974513364958	0.04554801676633604	9.0	67.09222869681298	они_PRON	0.11972936603486349	0.03041954093064914	7.0	69.41739240374133						как_ADV	0.11724385554926958	0.03406234662103814	8.0	45.030422233012416	бы_AUX	-0.1183365001174471	0.03241760311173969	5.0	47.00552451202255						к_ADP	0.1278505301363247	0.020745519232426637	44	47.96364046537039						она_PRON	-0.11377703808981503	0.03975850286246491	40.0	52.52098228131615						на_ADP	-0.14820852201817536	0.007260478505232527	28.0	8.93764903994124						а_CCONJ	0.13594984079476471	0.01387747107487296	8.0	17.3468388435912										
3	напоминать_VERB	-0.11810486856861077	0.03276050211038843	10.0	163.54042653505905	который_PRON	-0.11958834072406313	0.03061693103059274	5.0	60.376587992328886						сторона_NOUN	-0.11564127960741015	0.03660280674156551	10.0	83.5276049842525											женщина_NOUN	-0.11106127061744102	0.0447647382168163	32.0	64.90887041438363						весь_DET	0.12648200317098074	0.022159191506058048	20	51.2320507620062						женщина_NOUN	-0.11218293471776458	0.0426363419208424	12.0	56.322607677432806						женщина_NOUN	-0.1477797625107178	0.007432864524585755	20.0	9.149856229765064						молодой_ADJ	-0.11947135940325118	0.03078149709938346	6.0	38.476871374229326										
4	взгляд_NOUN	-0.11103136320824628	0.04482268789811981	11.0	223.75485798741408	этот_DET	-0.11489050619819641	0.03784716360824405	15.0	74.63460663545726																															страшный_ADJ	0.12494476393169685	0.023845882291432	6	55.13167985779078																-_DET	-0.14132632054088834	0.010506672426179434	5.0	12.933713756626883						о_ADP	-0.11580360780028134	0.0363383693966118	5.0	45.42296174576475										
5						семья_NOUN	-0.11069764365723239	0.0454735979476718	6.0	89.6739351528088																															прошлое_NOUN	-0.12200719173383931	0.027378926809061524	8	63.300078782550244																этот_DET	-0.12324658454955337	0.0258369297627441	25.0	31.805260537937986						как_SCONJ	-0.11240324690157623	0.04222845979355669	7.0	52.78557474194586										
6						сторона_NOUN	-0.10897776217082768	0.04895518704850102	8.0	96.53962885964401																															себя_PRON	0.12019897255489062	0.029770068547374757	25	68.82839848153044																жизнь_NOUN	0.11319613232221866	0.04078761650802734	5.0	50.20955592138166																				
7																																									даже_PART	0.1187931970306051	0.03175048488050553	15	73.4071210437288																взгляд_NOUN	-0.11096711072096337	0.04494739886100748	8.0	55.33024799790021																				
8																																									все_PRON	0.11592998922909653	0.03613361406515499	19	83.54091571863833																прожить_VERB	-0.10911901851224408	0.048661083068582696	15.0	59.9017932574253																				
